gid;name;hoehe;xcoor;ycoor;rang;gebirge;schartenhoehe;schartenname;erstbesteigung;erstbesteiger;webpage
1;Dufourspitze;4634;633220;87321;3;Monte-Rosa-Massiv;2165;Grosser Sankt Bernhard;1855-01-01;Charles Hudson und 7 Begleiter;http://de.wikipedia.org/wiki/Dufourspitze
2;Nordend;4609;633454;87878;4;Monte-Rosa-Massiv;94;Silbersattel;1861-08-26;Edward N. Buxton, T.F. Buxton, John J. Cowell, Michel-Clément Payot, Binder;http://de.wikipedia.org/wiki/Nordend_(Berg)
3;Zumsteinspitze;4563;633568;86798;5;Monte-Rosa-Massiv;110;Grenzsattel;1855-01-01;Joseph Zumstein Joseph und Johann Niklaus Vincent u.a.;http://de.wikipedia.org/wiki/Zumsteinspitze
4;Signalkuppe;4554;634002;86276;6;Monte-Rosa-Massiv;102;Colle Gnifetti;1842-08-09;Giovanni Gnifetti und 7 Begleiter;http://de.wikipedia.org/wiki/Signalkuppe
5;Dom;4545;632330;104856;7;Mischabelgruppe;1046;Neues Weisstor;1858-09-11;J. Llewellyn Davies, Johann Zumtaugwald, Johann Kronig, Hieronymous Brantschen;http://de.wikipedia.org/wiki/Dom_(Berg)
6;Liskamm (Ostgipfel);4527;630793;85734;8;Walliser Alpen;376;Lisjoch;1861-08-19;Durch 14 Bergsteiger;http://de.wikipedia.org/wiki/Liskamm
7;Weisshorn;4505;621456;105580;9;Walliser Alpen;1235;Furggjoch;1861-08-19;John Tyndall, Johann Josef Benet, Ulrich Wenger;http://de.wikipedia.org/wiki/Weisshorn_(Wallis)
8;Täschhorn;4491;632379;103652;10;Mischabelgruppe;210;Domjoch;1862-07-30;J. Llewelyn Davies, J.W. Hayward, Peter-Josef Summermatter, Stefan, Johann Zumtaugwald;http://de.wikipedia.org/wiki/T%C3%A4schhorn
9;Liskamm (Westgipfel);4479;630793;85734;11;Walliser Alpen;62;Einschartung zum Ostgipfel;1861-08-19;William E. Hall und 13 Begleiter;http://de.wikipedia.org/wiki/Liskamm
10;Matterhorn;4478;617049;91670;12;Walliser Alpen;1040;Col Duran;1865-07-14;Edward Whymper, Michel Croz, Charles Hudson, Lord Francis Douglas, D. Robert Hadow sowie die Zermatter Bergführer Peter Taugwalder Vater und Peter Taugwalder Sohn;http://de.wikipedia.org/wiki/Matterhorn
11;Parrotspitze;4432;633569;85426;15;Monte-Rosa-Massiv;136;Seserjoch;1863-08-16;Florence Crauford Grove, Melchior Anderegg und 4 Begleiter;http://de.wikipedia.org/wiki/Parrotspitze
12;Dent Blanche;4357;613461;97992;16;Walliser Alpen;895;Col d’Herens;1862-07-18;Thomas S. Kennedy, William und C. Wigram mit Jean-Baptiste Croz, Johann Kronig;http://de.wikipedia.org/wiki/Dent_Blanche
13;Ludwigshöhe;4341;632981;85096;17;Monte-Rosa-Massiv;58;Fiodejoch;1822-08-25;Ludwig von Welden mit Begleitern;http://de.wikipedia.org/wiki/Ludwigsh%C3%B6he_%28Monte_Rosa%29
14;Nadelhorn;4327;632879;106465;18;Mischabelgruppe;206;Lenzjoch;1858-09-16;Franz Andenmatten, Baptiste Epiney, Aloys Supersaxo, Joseph Zimmermann;http://de.wikipedia.org/wiki/Nadelhorn
15;Grand Combin (Grafeneire);4314;589008;86994;20;Walliser Alpen;1517;Fenêtre de Durand;1857-07-20;Jouvence Bruchez, Benjamin, Maurice Felley;http://de.wikipedia.org/wiki/Grand_Combin
16;Lenzspitze;4294;633247;106004;22;Mischabelgruppe;86;Nadeljoch;1870-01-01;Clinton Thomas Dent, Alexander und Franz Burgener;http://de.wikipedia.org/wiki/Lenzspitze
17;Finsteraarhorn;4274;652737;154223;23;Berner Alpen;2280;Westlich vom Simplonpass;1812-08-16;Arnold Abbühl, Joseph Bortis, Alois Volker;http://de.wikipedia.org/wiki/Finsteraarhorn
18;Stecknadelhorn;4241;632560;106728;26;Mischabelgruppe;80;Stecknadeljoch;1887-08-08;Oscar Eckenstein, Matthias Zurbriggen;http://de.wikipedia.org/wiki/Stecknadelhorn
19;Castor;4223;627518;85536;27;Walliser Alpen;165;Felikjoch;1861-08-23;William Mathews, F.W. Jacomb, Michel Croz;http://de.wikipedia.org/wiki/Castor_%28Berg%29
20;Zinalrothorn;4221;619450;101497;28;Walliser Alpen;490;Hohlichtpass;1864-08-22;Florence Crauford Grove, Leslie Stephen, Jakob und Melchior Anderegg;http://de.wikipedia.org/wiki/Zinalrothorn
21;Hohberghorn;4219;632104;106862;29;Mischabelgruppe;75;Hohbergjoch;1869-08-01;R. B. Heathcote, Franz Biner, Peter Perren, Peter Taugwalder;http://de.wikipedia.org/wiki/Hohberghorn
22;Alphubel;4206;632907;101370;32;Mischabelgruppe;355;Mischabeljoch;1860-08-09;T.W. Hinchliff, Leslie Stephen, Melchior Anderegg, Peter Perren;http://de.wikipedia.org/wiki/Alphubel
23;Rimpfischhorn;4199;634480;96932;33;Mischabelgruppe;635;Allalinpass;1859-09-09;Leslie Stephen, Robert Liveing, Melchior Anderegg, Johann Zumtaugwald;http://de.wikipedia.org/wiki/Rimpfischhorn
24;Aletschhorn;4193;642633;146125;34;Berner Alpen;1017;Lötschenlücke;1859-06-18;Francis F. Tuckett, Johann Josef Benet, Peter Bohren, V. Tairraz;http://de.wikipedia.org/wiki/Aletschhorn
25;Strahlhorn;4190;635863;95828;35;Mischabelgruppe;401;Alderpass;1854-08-15;Edmund J. Grenville, Christopher Smyth, Franz-Josef Andenmatten, Ulrich Lauener;http://de.wikipedia.org/wiki/Strahlhorn
26;Grand Combin (Valsorey);4184;589008;86994;36;Walliser Alpen;57;Einschartung zum Combin de Grafeneire;;;http://de.wikipedia.org/wiki/Grand_Combin
27;Dent d’Hérens;4171;612911;90943;38;Walliser Alpen;692;Colle Tournanche;1863-08-12;Florence Crauford Grove, Melchior Anderegg und 5 Begleiter;http://de.wikipedia.org/wiki/Dent_d%E2%80%99H%C3%A9rens
28;Breithorn (Westgipfel);4164;624104;87865;39;Walliser Alpen;433;Schwarztor;1813-08-13;Henry Maynard, Joseph-Marie Couttet, Jean Gras, Jean-Baptiste und Jean-Jacques Erin;http://de.wikipedia.org/wiki/Breithorn_%28Zermatt%29
29;Breithorn (Zentralgipfel);4159;624104;87865;40;Walliser Alpen;82;Einschartung zum Westgipfel;1813-08-13;Henry Maynard, Joseph-Marie Couttet, Jean Gras, Jean-Baptiste und Jean-Jacques Erin;http://de.wikipedia.org/wiki/Breithorn_%28Zermatt%29
30;Jungfrau;4158;640278;154213;41;Berner Alpen;687;Jungfraujoch;1811-08-03;Johann Rudolf Meyer, Hieronymus Meyer, Alois Volker, Joseph Bortis;http://de.wikipedia.org/wiki/Jungfrau_%28Berg%29
31;Bishorn;4135;621385;107433;42;Walliser Alpen;95;Weisshornjoch;1884-08-18;G. S. Barnes, R. Chessyre-Walker, Joseph Imboden, J. M. Chanton;http://de.wikipedia.org/wiki/Bishorn
32;Breithorn (Zwillinge-West);4139;624104;87865;43;Walliser Alpen;117;Selle;;;http://de.wikipedia.org/wiki/Breithorn_%28Zermatt%29
33;Grand Combin (Tsessette);4135;589008;86994;44;Walliser Alpen;52;Einschartung zum Combin de Grafeneire;;;http://de.wikipedia.org/wiki/Grand_Combin
34;Mönch;4107;642839;156508;50;Berner Alpen;578;Unteres Mönchsjoch;1857-08-15;Sigismund Porges, Christian Almer, Christian und Ulrich Kaufmann;http://de.wikipedia.org/wiki/M%C3%B6nch_%28Berg%29
35;Breithorn (Zwillinge-Ost);4106;624104;87865;51;Walliser Alpen;36;Einschartung zum Zwilling-West;;;http://de.wikipedia.org/wiki/Breithorn_%28Zermatt%29
36;Pollux;4092;626896;86304;55;Walliser Alpen;247;Zwillingsjoch;1864-08-01;Jules Jacot, Josef-Marie Perren, Peter Taugwalder sen.;http://de.wikipedia.org/wiki/Pollux_%28Berg%29
37;Schreckhorn;4078;652106;159989;56;Berner Alpen;788;Finsteraarjoch;1864-08-01;Leslie Stephen, Ulrich Kaufmann, Peter und Christian Michel;http://de.wikipedia.org/wiki/Schreckhorn
38;Breithorn (Roccia Nera);4075;624104;87865;57;Walliser Alpen;30;Einschartung zum Zwilling-Ost;;;http://de.wikipedia.org/wiki/Breithorn_%28Zermatt%29
39;Ober Gabelhorn;4063;617759;98588;62;Walliser Alpen;536;Triftjoch;1865-07-06;Horace Walker, Adolphus W. Moore, Jakob Anderegg;http://de.wikipedia.org/wiki/Ober_Gabelhorn
40;Piz Bernina;4049;789947;139751;65;Berninagruppe;2234;Malojapass;1850-09-13;Johann Coaz, Jon und Lorenz Ragut Tscharner;http://de.wikipedia.org/wiki/Piz_Bernina
41;Gross Fiescherhorn;4049;647768;155752;66;Berner Alpen;364;Fiescherjoch;1862-07-23;Adolphus W. Moore, H. B. George, Ulrich Kaufmann, Christian Almer;http://de.wikipedia.org/wiki/Gross_Fiescherhorn
42;Gross Grünhorn;4044;649013;153604;69;Berner Alpen;305;Kleine Grünhornlücke;1865-08-07;Edmund von Fellenberg, Peter Michel, Peter Egger, Peter Inäbnit;http://de.wikipedia.org/wiki/Gross_Gr%C3%BCnhorn
43;Lauteraarhorn;4042;652841;159350;70;Berner Alpen;128;Schreckhornsattel;1865-08-07;Pierre Desor, Arnold Escher von der Linth, Christian Girard, Melchior Bannholzer, Jakob Leuthold;http://de.wikipedia.org/wiki/Lauteraarhorn
44;Dürrenhorn;4035;631649;107663;72;Mischabelgruppe;123;Dürrenjoch;1879-09-07;Albert Mummery, William Penhall, Alexander Burgener, Ferdinand Imseng;http://de.wikipedia.org/wiki/D%C3%BCrrenhorn
45;Allalinhorn;4027;635497;99624;73;Walliser Alpen;255;Alphubeljoch;1856-08-28;Edward L. Ames, Johann Josef Imseng, Franz Josef Andenmatten;http://de.wikipedia.org/wiki/Allalinhorn
